,original_text,clean_text,sampa,pos,ipa
5428,caprinas,caprinas,kap4inas,NOUN,kapɾinas
5429,captar,captar,kapta4,VERB,kaptaɾ
5430,captaremos,captaremos,kapta4emos,VERB,kaptaɾemos
5431,capturado,capturado,kaptu4ado,ADJ,kaptuɾado
5432,capítulo,capítulo,kapitulo,NOUN,kapitulo
5433,capítulos,capítulos,kapitulos,NOUN,kapitulos
5434,caracteres,caracteres,ka4akte4es,NOUN,kaɾakteɾes
5435,caracteriza,caracteriza,ka4akte4isa,VERB,kaɾakteɾisa
5436,caracterizaba,caracterizaba,ka4akte4isaba,VERB,kaɾakteɾisaba
5437,caracterización,caracterización,ka4akte4isasion,NOUN,kaɾakteɾisasion
5438,caracterizada,caracterizada,ka4akte4isada,ADJ,kaɾakteɾisada
5439,caracterizando,caracterizando,ka4akte4isando,VERB,kaɾakteɾisando
5440,caracterizar,caracterizar,ka4akte4isa4,VERB,kaɾakteɾisaɾ
5441,caracterizarse,caracterizarse,ka4akte4isa4se,VERB,kaɾakteɾisaɾse
5442,característica,característica,ka4akte4istika,ADJ,kaɾakteɾistika
5443,características,características,ka4akte4istikas,NOUN,kaɾakteɾistikas
5444,característicos,característicos,ka4akte4istikos,ADJ,kaɾakteɾistikos
5445,caras,caras,ka4as,NOUN,kaɾas
5446,carbono,carbono,ka4bono,NOUN,kaɾbono
5447,carbunco,carbunco,ka4bunko,PROPN,kaɾbunko
5448,carcasas,carcasas,ka4kasas,NOUN,kaɾkasas
5449,carcelario,carcelario,ka4sela4jo,ADJ,kaɾselaɾjo
5450,carcinógenas,carcinógenas,ka4sinoxenas,NOUN,kaɾsinoxenas
5451,carcome,carcome,ka4kome,PROPN,kaɾkome
5452,cardinal,cardinal,ka4dinal,ADJ,kaɾdinal
5453,cardiovascular,cardiovascular,ka4djobaskula4,ADJ,kaɾdjobaskulaɾ
5454,cardíaco,cardíaco,ka4djako,ADJ,kaɾdjako
5455,carecen,carecen,ka4esen,VERB,kaɾesen
5456,carecer,carecer,ka4ese4,VERB,kaɾeseɾ
5457,careceremos,careceremos,ka4ese4emos,VERB,kaɾeseɾemos
5458,carecerá,carecerá,ka4ese4a,VERB,kaɾeseɾa
5459,carencia,carencia,ka4ensia,NOUN,kaɾensia
5460,carente,carente,ka4ente,ADJ,kaɾente
5461,carestía,carestía,ka4estja,NOUN,kaɾestja
5462,carey,carey,ka4ei,PROPN,kaɾei
5463,cargadas,cargadas,ka4gadas,ADJ,kaɾɡadas
5464,cargan,cargan,ka4gan,VERB,kaɾɡan
5465,cargar,cargar,ka4ga4,VERB,kaɾɡaɾ
5466,cargarse,cargarse,ka4ga4se,VERB,kaɾɡaɾse
5467,cargo,cargo,ka4go,NOUN,kaɾɡo
5468,carguemos,carguemos,ka4gemos,VERB,kaɾɡemos
5469,caribeño,caribeño,ka4ibeJo,ADJ,kaɾibeɲo
5470,caribeños,caribeños,ka4ibeJos,ADJ,kaɾibeɲos
5471,caricatura,caricatura,ka4ikatu4a,NOUN,kaɾikatuɾa
5472,caricaturizan,caricaturizan,ka4ikatu4isan,VERB,kaɾikatuɾisan
5473,carnal,carnal,ka4nal,PROPN,kaɾnal
5474,carne,carne,ka4ne,NOUN,kaɾne
5475,carnet,carnet,ka4net,PROPN,kaɾnet
5476,carniceros,carniceros,ka4nise4os,NOUN,kaɾniseɾos
5477,carnicerías,carnicerías,ka4nise4jas,NOUN,kaɾniseɾjas
5478,carrera,carrera,kare4a,NOUN,kareɾa
5479,carretera,carretera,karete4a,NOUN,kareteɾa
5480,carretera-ferrocarril,carreteraferrocarril,karete4aferokaril,PROPN,kareteɾaferokaril
5481,carreteras,carreteras,karete4as,NOUN,kareteɾas
5482,carriers,carriers,karje4s,PROPN,karjeɾs
5483,carro,carro,karo,PROPN,karo
5484,carrocerías,carrocerías,karose4jas,NOUN,karoseɾjas
5485,carros,carros,karos,PROPN,karos
5486,carta,carta,ka4ta,PROPN,kaɾta
5487,carta,carta,ka4ta,PROPN,kaɾta
5488,cartearme,cartearme,ka4tea4me,VERB,kaɾteaɾme
5489,cartero,cartero,ka4te4o,NOUN,kaɾteɾo
5490,carteros,carteros,ka4te4os,NOUN,kaɾteɾos
5491,cartesiana,cartesiana,ka4tesjana,ADJ,kaɾtesjana
5492,cartón,cartón,ka4ton,NOUN,kaɾton
5493,cartón-piedra,cartónpiedra,ka4tonpjed4a,PROPN,kaɾtonpjedɾa
5494,cartónpiedra,cartónpiedra,ka4tonpjed4a,PROPN,kaɾtonpjedɾa
5495,carácter,carácter,ka4akte4,NOUN,kaɾakteɾ
5496,casado,casado,kasado,ADJ,kasado
5497,casarse,casarse,kasa4se,VERB,kasaɾse
5498,cascar,cascar,kaska4,VERB,kaskaɾ
5499,casinos,casinos,kasinos,PROPN,kasinos
5500,castellano,castellano,kastej\ano,PROPN,kasteʝano
5501,castigada,castigada,kastigada,ADJ,kastiɡada
5502,castigados,castigados,kastigados,ADJ,kastiɡados
5503,castigan,castigan,kastigan,VERB,kastiɡan
5504,castigaremos,castigaremos,kastiga4emos,VERB,kastiɡaɾemos
5505,castigarlos,castigarlos,kastiga4los,VERB,kastiɡaɾlos
5506,castigue,castigue,kastige,VERB,kastiɡe
5507,castiguen,castiguen,kastigen,VERB,kastiɡen
5508,castigándoles,castigándoles,kastigandoles,VERB,kastiɡandoles
5509,castigó,castigó,kastigo,VERB,kastiɡo
5510,castradas,castradas,kast4adas,ADJ,kastɾadas
5511,casual,casual,kaswal,ADJ,kaswal
5512,casualidad,casualidad,kaswalidad,PROPN,kaswalidad
5513,casuístico,casuístico,kaswistiko,ADJ,kaswistiko
5514,cataclismo,cataclismo,kataklismo,NOUN,kataklismo
5515,catalanes,catalanes,katalanes,ADJ,katalanes
5516,catalogado,catalogado,katalogado,ADJ,kataloɡado
5517,catalogados,catalogados,katalogados,ADJ,kataloɡados
5518,catalán,catalán,katalan,PROPN,katalan
5519,catarro,catarro,kataro,PROPN,kataro
5520,catastrófica,catastrófica,katast4ofika,ADJ,katastɾofika
5521,catastróficos,catastróficos,katast4ofikos,ADJ,katastɾofikos
5522,catches,catches,kattSes,PROPN,katt͡ʃes
5523,catedrático,catedrático,kated4atiko,NOUN,katedɾatiko
5524,categoría,categoría,katego4ja,NOUN,kateɡoɾja
5525,categorías,categorías,katego4jas,NOUN,kateɡoɾjas
5526,categórica,categórica,katego4ika,ADJ,kateɡoɾika
5527,categóricas,categóricas,katego4ikas,ADJ,kateɡoɾikas
5528,categóricos,categóricos,katego4ikos,ADJ,kateɡoɾikos
5529,catolicismo,catolicismo,katolisismo,NOUN,katolisismo
5530,catálogo,catálogo,katalogo,NOUN,kataloɡo
5531,catálogos,catálogos,katalogos,NOUN,kataloɡos
5532,catástrofe,catástrofe,katast4ofe,NOUN,katastɾofe
5533,catástrofes,catástrofes,katast4ofes,NOUN,katastɾofes
5534,católica,católica,katolika,ADJ,katolika
5535,católico,católico,katoliko,ADJ,katoliko
5536,cauce,cauce,kause,NOUN,kause
5537,cauces,cauces,kauses,NOUN,kauses
5538,caudal,caudal,kaudal,NOUN,kaudal
5539,caudales,caudales,kaudales,NOUN,kaudales
5540,caudillo,caudillo,kaudij\o,PROPN,kaudiʝo
5541,causa,causa,kausa,NOUN,kausa
5542,causada,causada,kausada,ADJ,kausada
5543,causadas,causadas,kausadas,ADJ,kausadas
5544,causal,causal,kausal,ADJ,kausal
5545,causando,causando,kausando,VERB,kausando
5546,causante,causante,kausante,ADJ,kausante
5547,causantes,causantes,kausantes,ADJ,kausantes
5548,causar,causar,kausa4,VERB,kausaɾ
5549,causaran,causaran,kausa4an,VERB,kausaɾan
5550,causas,causas,kausas,NOUN,kausas
5551,cause,cause,kause,PROPN,kause
5552,causen,causen,kausen,VERB,kausen
5553,causó,causó,kauso,VERB,kauso
5554,cauta,cauta,kauta,PROPN,kauta
5555,cautela,cautela,kautela,NOUN,kautela
5556,cautelas,cautelas,kautelas,NOUN,kautelas
5557,cautelosa,cautelosa,kautelosa,ADJ,kautelosa
5558,cauteloso,cauteloso,kauteloso,ADJ,kauteloso
5559,cautelosos,cautelosos,kautelosos,ADJ,kautelosos
5560,cautiverio,cautiverio,kautibe4jo,NOUN,kautibeɾjo
5561,cazado,cazado,kasado,ADJ,kasado
5562,cazadores,cazadores,kasado4es,NOUN,kasadoɾes
5563,cazaejecutivos,cazaejecutivos,kasaexekutibos,NOUN,kasaexekutibos
5564,cazarlos,cazarlos,kasa4los,VERB,kasaɾlos
5565,caían,caían,kajan,VERB,kajan
5566,caída,caída,kaida,NOUN,kaida
5567,caído,caído,kaido,VERB,kaido
5568,cañas,cañas,kaJas,NOUN,kaɲas
5569,cañonazos,cañonazos,kaJonasos,NOUN,kaɲonasos
5570,cañón,cañón,kaJon,NOUN,kaɲon
5571,caótica,caótica,kaotika,ADJ,kaotika
5572,caótico,caótico,kaotiko,ADJ,kaotiko
5573,caóticos,caóticos,kaotikos,ADJ,kaotikos
5574,cebolla,cebolla,seboj\a,NOUN,seboʝa
5575,cedemos,cedemos,sedemos,VERB,sedemos
5576,cederlos,cederlos,sede4los,VERB,sedeɾlos
5577,cederán,cederán,sede4an,VERB,sedeɾan
5578,cedido,cedido,sedido,ADJ,sedido
5579,cediera,cediera,sedje4a,VERB,sedjeɾa
5580,cediesen,cediesen,sedjesen,VERB,sedjesen
5581,cefalópodos,cefalópodos,sefalopodos,NOUN,sefalopodos
5582,cegado,cegado,segado,PROPN,seɡado
5583,cegarles,cegarles,sega4les,VERB,seɡaɾles
5584,celda,celda,selda,NOUN,selda
5585,celdas,celdas,seldas,NOUN,seldas
5586,celebrada,celebrada,seleb4ada,ADJ,selebɾada
5587,celebrado,celebrado,seleb4ado,ADJ,selebɾado
5588,celebramos,celebramos,seleb4amos,VERB,selebɾamos
5589,celebrara,celebrara,seleb4a4a,VERB,selebɾaɾa
5590,celebrarla,celebrarla,seleb4a4la,VERB,selebɾaɾla
5591,celebrarlas,celebrarlas,seleb4a4las,VERB,selebɾaɾlas
5592,celebrarlo,celebrarlo,seleb4a4lo,VERB,selebɾaɾlo
5593,celebraron,celebraron,seleb4a4on,VERB,selebɾaɾon
5594,celebrarán,celebrarán,seleb4a4an,VERB,selebɾaɾan
5595,celebraré,celebraré,seleb4a4e,VERB,selebɾaɾe
5596,celebrase,celebrase,seleb4ase,VERB,selebɾase
5597,celebre,celebre,seleb4e,VERB,selebɾe
5598,celebremos,celebremos,seleb4emos,VERB,selebɾemos
5599,celebren,celebren,seleb4en,VERB,selebɾen
5600,celebráramos,celebráramos,seleb4a4amos,VERB,selebɾaɾamos
5601,celebró,celebró,seleb4o,VERB,selebɾo
5602,celeridad,celeridad,sele4idad,NOUN,seleɾidad
5603,celos,celos,selos,NOUN,selos
5604,celoso,celoso,seloso,ADJ,seloso
5605,celui-ci,celuici,selwisi,PROPN,selwisi
5606,celular,celular,selula4,ADJ,selulaɾ
5607,celulosas,celulosas,selulosas,NOUN,selulosas
5608,cementera,cementera,semente4a,PROPN,sementeɾa
5609,cementerios,cementerios,semente4jos,NOUN,sementeɾjos
5610,cemento,cemento,semento,NOUN,semento
5611,censadas,censadas,sensadas,ADJ,sensadas
5612,censeo,censeo,senseo,NOUN,senseo
5613,censurar,censurar,sensu4a4,VERB,sensuɾaɾ
5614,centenar,centenar,sentena4,NOUN,sentenaɾ
5615,centinela,centinela,sentinela,NOUN,sentinela
5616,centra,centra,sent4a,PROPN,sentɾa
5617,centraba,centraba,sent4aba,VERB,sentɾaba
5618,centrada,centrada,sent4ada,ADJ,sentɾada
5619,centradas,centradas,sent4adas,ADJ,sentɾadas
5620,centrados,centrados,sent4ados,ADJ,sentɾados
5621,centralismo,centralismo,sent4alismo,NOUN,sentɾalismo
5622,centralizada,centralizada,sent4alisada,ADJ,sentɾalisada
5623,centralizado,centralizado,sent4alisado,ADJ,sentɾalisado
5624,centralizadora,centralizadora,sent4alisado4a,ADJ,sentɾalisadoɾa
5625,centralizadoras,centralizadoras,sent4alisado4as,ADJ,sentɾalisadoɾas
5626,centralizar,centralizar,sent4alisa4,VERB,sentɾalisaɾ
5627,centran,centran,sent4an,VERB,sentɾan
5628,centrara,centrara,sent4a4a,VERB,sentɾaɾa
5629,centrarse,centrarse,sent4a4se,VERB,sentɾaɾse
5630,centrarán,centrarán,sent4a4an,VERB,sentɾaɾan
5631,centraría,centraría,sent4a4ja,VERB,sentɾaɾja
5632,centroamericana,centroamericana,sent4oame4ikana,ADJ,sentɾoameɾikana
5633,centroeuropeos,centroeuropeos,sent4oeu4opeos,NOUN,sentɾoeuɾopeos
5634,centros,centros,sent4os,NOUN,sentɾos
5635,centrándolo,centrándolo,sent4andolo,VERB,sentɾandolo
5636,cercanas,cercanas,se4kanas,ADJ,seɾkanas
5637,cercano,cercano,se4kano,ADJ,seɾkano
5638,cercenar,cercenar,se4sena4,VERB,seɾsenaɾ
5639,cerciorarnos,cerciorarnos,se4sio4a4nos,VERB,seɾsioɾaɾnos
5640,cerciore,cerciore,se4sio4e,VERB,seɾsioɾe
5641,cerciorémonos,cerciorémonos,se4sio4emonos,VERB,seɾsioɾemonos
5642,cereales,cereales,se4eales,NOUN,seɾeales
5643,cerebrales,cerebrales,se4eb4ales,ADJ,seɾebɾales
5644,cerebro,cerebro,se4eb4o,NOUN,seɾebɾo
5645,ceros,ceros,se4os,NOUN,seɾos
5646,cerraban,cerraban,seraban,VERB,seraban
5647,cerrada,cerrada,serada,ADJ,serada
5648,cerrados,cerrados,serados,ADJ,serados
5649,cerramos,cerramos,seramos,VERB,seramos
5650,cerrando,cerrando,serando,VERB,serando
5651,cerrara,cerrara,sera4a,VERB,seraɾa
5652,cerraron,cerraron,sera4on,VERB,seraɾon
5653,cerrarse,cerrarse,sera4se,VERB,seraɾse
5654,cerrase,cerrase,serase,VERB,serase
5655,cerrasen,cerrasen,serasen,VERB,serasen
5656,cerrojos,cerrojos,seroxos,NOUN,seroxos
5657,cerró,cerró,sero,VERB,sero
5658,certeras,certeras,se4te4as,ADJ,seɾteɾas
5659,certificaciones,certificaciones,se4tifikasiones,NOUN,seɾtifikasiones
5660,certificadas,certificadas,se4tifikadas,ADJ,seɾtifikadas
5661,certificado,certificado,se4tifikado,NOUN,seɾtifikado
5662,certifican,certifican,se4tifikan,VERB,seɾtifikan
5663,certificar,certificar,se4tifika4,VERB,seɾtifikaɾ
5664,cerveza,cerveza,se4besa,PROPN,seɾbesa
5665,cesar,cesar,sesa4,VERB,sesaɾ
5666,cesara,cesara,sesa4a,VERB,sesaɾa
5667,cesaran,cesaran,sesa4an,VERB,sesaɾan
5668,cesiones,cesiones,sesjones,NOUN,sesjones
5669,cesión,cesión,sesjon,NOUN,sesjon
5670,cetorrinos,cetorrinos,setorinos,NOUN,setorinos
5671,ceñida,ceñida,seJida,ADJ,seɲida
5672,ceñirme,ceñirme,seJi4me,VERB,seɲiɾme
5673,ceñirse,ceñirse,seJi4se,VERB,seɲiɾse
5674,ceñiré,ceñiré,seJi4e,VERB,seɲiɾe
5675,chadianos,chadianos,tSadjanos,NOUN,t͡ʃadjanos
5676,champán,champán,tSampan,NOUN,t͡ʃampan
5677,chantajeado,chantajeado,tSantaxeado,ADJ,t͡ʃantaxeado
5678,chantajeados,chantajeados,tSantaxeados,ADJ,t͡ʃantaxeados
5679,chantajeando,chantajeando,tSantaxeando,VERB,t͡ʃantaxeando
5680,chapeau,chapeau,tSapeau,PROPN,t͡ʃapeau
5681,chapucero,chapucero,tSapuse4o,NOUN,t͡ʃapuseɾo
5682,chapuza,chapuza,tSapusa,NOUN,t͡ʃapusa
5683,charlas,charlas,tSa4las,NOUN,t͡ʃaɾlas
5684,chatarra,chatarra,tSatara,NOUN,t͡ʃatara
5685,chechenos,chechenos,tSetSenos,NOUN,t͡ʃet͡ʃenos
5686,check,check,tSekk,PROPN,t͡ʃekk
5687,checo,checo,tSeko,NOUN,t͡ʃeko
5688,checos,checos,tSekos,NOUN,t͡ʃekos
5689,cheque,cheque,tSeke,NOUN,t͡ʃeke
5690,chequeo,chequeo,tSekeo,NOUN,t͡ʃekeo
5691,cheques,cheques,tSekes,NOUN,t͡ʃekes
5692,chiffres-clés,chiffresclés,tSiff4eskles,PROPN,t͡ʃiffɾeskles
5693,chiffresclés,chiffresclés,tSiff4eskles,PROPN,t͡ʃiffɾeskles
5694,china,china,tSina,PROPN,t͡ʃina
5695,chinas,chinas,tSinas,ADJ,t͡ʃinas
5696,chino,chino,tSino,PROPN,t͡ʃino
5697,chinos,chinos,tSinos,NOUN,t͡ʃinos
5698,chirrido,chirrido,tSirido,NOUN,t͡ʃirido
5699,chismorreo,chismorreo,tSismoreo,NOUN,t͡ʃismoreo
5700,chistes,chistes,tSistes,NOUN,t͡ʃistes
5701,chiítas,chiítas,tSiitas,NOUN,t͡ʃiitas
5702,choca,choca,tSoka,VERB,t͡ʃoka
5703,chocan,chocan,tSokan,VERB,t͡ʃokan
5704,chocante,chocante,tSokante,ADJ,t͡ʃokante
5705,chocar,chocar,tSoka4,VERB,t͡ʃokaɾ
5706,chocolat,chocolat,tSokolat,PROPN,t͡ʃokolat
5707,chocolate,chocolate,tSokolate,NOUN,t͡ʃokolate
5708,chocolateras,chocolateras,tSokolate4as,ADJ,t͡ʃokolateɾas
5709,chocolatl,chocolatl,tSokolatK,PROPN,t͡ʃokolat͡ɬ
5710,chollo,chollo,tSoj\o,PROPN,t͡ʃoʝo
5711,choque,choque,tSoke,NOUN,t͡ʃoke
5712,chorreo,chorreo,tSoreo,NOUN,t͡ʃoreo
5713,chupan,chupan,tSupan,VERB,t͡ʃupan
5714,chusma,chusma,tSusma,PROPN,t͡ʃusma
5715,ciancali,ciancali,siankali,PROPN,siankali
5716,cianuro,cianuro,sianu4o,NOUN,sianuɾo
5717,ciberdelincuencia,ciberdelincuencia,sibe4delinkwensia,NOUN,sibeɾdelinkwensia
5718,ciberespacio,ciberespacio,sibe4espasio,NOUN,sibeɾespasio
5719,cicatrizar,cicatrizar,sikat4isa4,VERB,sikatɾisaɾ
5720,ciclo,ciclo,siklo,NOUN,siklo
5721,ciclópea,ciclópea,siklopea,PROPN,siklopea
5722,ciega,ciega,siega,PROPN,sieɡa
5723,ciegas,ciegas,siegas,NOUN,sieɡas
5724,ciego,ciego,siego,PROPN,sieɡo
5725,ciegos,ciegos,siegos,NOUN,sieɡos
5726,cielos,cielos,sielos,NOUN,sielos
5727,ciencias,ciencias,siensias,NOUN,siensias
5728,cierne,cierne,sie4ne,PROPN,sieɾne
5729,ciertas,ciertas,sie4tas,PRON,sieɾtas
5730,cierto,cierto,sie4to,ADJ,sieɾto
5731,cierto,cierto,sie4to,ADJ,sieɾto
5732,ciertos,ciertos,sie4tos,PRON,sieɾtos
5733,cifrados,cifrados,sif4ados,ADJ,sifɾados
5734,cifran,cifran,sif4an,VERB,sifɾan
5735,cifrando,cifrando,sif4ando,VERB,sifɾando
5736,cifrar,cifrar,sif4a4,VERB,sifɾaɾ
5737,cifrándolas,cifrándolas,sif4andolas,VERB,sifɾandolas
5738,cimas,cimas,simas,PROPN,simas
5739,cimentada,cimentada,simentada,ADJ,simentada
5740,cimentar,cimentar,simenta4,VERB,simentaɾ
5741,cimientos,cimientos,simjentos,NOUN,simjentos
5742,cincuenta,cincuenta,sinkwenta,NUM,sinkwenta
5743,cincuentenario,cincuentenario,sinkwentena4jo,NOUN,sinkwentenaɾjo
5744,cinegéticas,cinegéticas,sinexetikas,ADJ,sinexetikas
5745,cinematográfica,cinematográfica,sinematog4afika,ADJ,sinematoɡɾafika
5746,cinematográfico,cinematográfico,sinematog4afiko,ADJ,sinematoɡɾafiko
5747,cingalesa,cingalesa,singalesa,ADJ,sinɡalesa
5748,cinismo,cinismo,sinismo,NOUN,sinismo
5749,cintas,cintas,sintas,NOUN,sintas
5750,cinturón,cinturón,sintu4on,NOUN,sintuɾon
5751,circuitos,circuitos,si4kwitos,NOUN,siɾkwitos
5752,circulado,circulado,si4kulado,ADJ,siɾkulado
5753,circulando,circulando,si4kulando,VERB,siɾkulando
5754,circulará,circulará,si4kula4a,VERB,siɾkulaɾa
5755,circuncisión,circuncisión,si4kunsisjon,NOUN,siɾkunsisjon
5756,circundantes,circundantes,si4kundantes,ADJ,siɾkundantes
5757,circunloquios,circunloquios,si4kunlokjos,NOUN,siɾkunlokjos
5758,circunscribe,circunscribe,si4kunsk4ibe,VERB,siɾkunskɾibe
5759,circunscribiera,circunscribiera,si4kunsk4ibje4a,VERB,siɾkunskɾibjeɾa
5760,circunscripción,circunscripción,si4kunsk4ipsion,NOUN,siɾkunskɾipsion
5761,circunscritas,circunscritas,si4kunsk4itas,ADJ,siɾkunskɾitas
5762,circunscritos,circunscritos,si4kunsk4itos,ADJ,siɾkunskɾitos
5763,circunstancia,circunstancia,si4kunstansia,NOUN,siɾkunstansia
5764,circunstancial,circunstancial,si4kunstansial,ADJ,siɾkunstansial
5765,circunstancias,circunstancias,si4kunstansias,NOUN,siɾkunstansias
5766,cirujano,cirujano,si4uxano,PROPN,siɾuxano
5767,cirujanos,cirujanos,si4uxanos,NOUN,siɾuxanos
5768,cisna,cisna,sisna,PROPN,sisna
5769,citada,citada,sitada,ADJ,sitada
5770,citaremos,citaremos,sita4emos,VERB,sitaɾemos
5771,citarlo,citarlo,sita4lo,VERB,sitaɾlo
5772,citarlos,citarlos,sita4los,VERB,sitaɾlos
5773,citaré,citaré,sita4e,VERB,sitaɾe
5774,citemos,citemos,sitemos,VERB,sitemos
5775,ciudadana,ciudadana,siudadana,NOUN,siudadana
5776,ciudadano,ciudadano,siudadano,NOUN,siudadano
5777,ciudadanía,ciudadanía,siudadanja,NOUN,siudadanja
5778,ciudades,ciudades,siudades,NOUN,siudades
5779,civil,civil,sibil,ADJ,sibil
5780,civiles,civiles,sibiles,ADJ,sibiles
5781,civilizacional,civilizacional,sibilisasional,ADJ,sibilisasional
5782,civilizaciones-como,civilizacionescomo,sibilisasioneskomo,NOUN,sibilisasioneskomo
5783,civilización,civilización,sibilisasion,NOUN,sibilisasion
5784,civilizada,civilizada,sibilisada,ADJ,sibilisada
5785,civilizados,civilizados,sibilisados,ADJ,sibilisados
5786,civilizatoria,civilizatoria,sibilisato4ja,ADJ,sibilisatoɾja
5787,civilísima,civilísima,sibilisima,ADJ,sibilisima
5788,civismo,civismo,sibismo,NOUN,sibismo
5789,cizalladores,cizalladores,sisaj\ado4es,NOUN,sisaʝadoɾes
5790,ciénaga,ciénaga,sienaga,NOUN,sienaɡa
5791,claim,claim,klaim,PROPN,klaim
5792,clama,clama,klama,VERB,klama
5793,clamando,clamando,klamando,VERB,klamando
5794,clamará,clamará,klama4a,VERB,klamaɾa
5795,clamor,clamor,klamo4,NOUN,klamoɾ
5796,clamorosamente,clamorosamente,klamo4osamente,ADV,klamoɾosamente
5797,clamoroso,clamoroso,klamo4oso,NOUN,klamoɾoso
5798,clandestino,clandestino,klandestino,ADJ,klandestino
5799,clara,clara,kla4a,ADJ,klaɾa
5800,clarificada,clarificada,kla4ifikada,ADJ,klaɾifikada
5801,clarificadas,clarificadas,kla4ifikadas,ADJ,klaɾifikadas
5802,clarificadora,clarificadora,kla4ifikado4a,ADJ,klaɾifikadoɾa
5803,clarificar,clarificar,kla4ifika4,VERB,klaɾifikaɾ
5804,clarificara,clarificara,kla4ifika4a,VERB,klaɾifikaɾa
5805,clarificarse,clarificarse,kla4ifika4se,VERB,klaɾifikaɾse
5806,clarividencia,clarividencia,kla4ibidensia,NOUN,klaɾibidensia
5807,claro,claro,kla4o,ADV,klaɾo
5808,clarísima,clarísima,kla4isima,ADJ,klaɾisima
5809,clashes,clashes,klaSes,PROPN,klaʃes
5810,clasificable,clasificable,klasifikable,ADJ,klasifikable
5811,clasificaciones,clasificaciones,klasifikasiones,NOUN,klasifikasiones
5812,clasificación,clasificación,klasifikasion,NOUN,klasifikasion
5813,clasificada,clasificada,klasifikada,ADJ,klasifikada
5814,clasificar,clasificar,klasifika4,VERB,klasifikaɾ
5815,clasificarse,clasificarse,klasifika4se,VERB,klasifikaɾse
5816,clasifiquen,clasifiquen,klasifiken,VERB,klasifiken
5817,clausurar,clausurar,klausu4a4,VERB,klausuɾaɾ
5818,clausurarán,clausurarán,klausu4a4an,VERB,klausuɾaɾan
5819,clausure,clausure,klausu4e,PROPN,klausuɾe
5820,clavo,clavo,klabo,NOUN,klabo
5821,clemencia,clemencia,klemensia,NOUN,klemensia
5822,clementes,clementes,klementes,ADJ,klementes
5823,cliché,cliché,klitSe,NOUN,klit͡ʃe
5824,clienta,clienta,kljenta,NOUN,kljenta
5825,climas,climas,klimas,NOUN,klimas
5826,climatología,climatología,klimatoloxia,NOUN,klimatoloxia
5827,climática,climática,klimatika,ADJ,klimatika
5828,climáticas,climáticas,klimatikas,ADJ,klimatikas
5829,clofeno,clofeno,klofeno,NOUN,klofeno
5830,clonado,clonado,klonado,ADJ,klonado
5831,cloro,cloro,klo4o,NOUN,kloɾo
5832,cloruro,cloruro,klo4u4o,NOUN,kloɾuɾo
5833,close,close,klose,PROPN,klose
5834,clubes,clubes,klubes,NOUN,klubes
5835,clásica,clásica,klasika,ADJ,klasika
5836,clásico,clásico,klasiko,ADJ,klasiko
5837,cláusulas,cláusulas,klausulas,NOUN,klausulas
5838,clínico,clínico,kliniko,PROPN,kliniko
5839,co-desarrollo,codesarrollo,kodesaroj\o,NOUN,kodesaroʝo
5840,co-financiación,cofinanciación,kofinansiasion,NOUN,kofinansiasion
5841,co-ponente,coponente,koponente,NOUN,koponente
5842,coacciones,coacciones,koaksiones,NOUN,koaksiones
5843,coactivos,coactivos,koaktibos,ADJ,koaktibos
5844,coadyuvado,coadyuvado,koadiubado,ADJ,koadiubado
5845,coadyuvan,coadyuvan,koadiuban,VERB,koadiuban
5846,coadyuvar,coadyuvar,koadiuba4,VERB,koadiubaɾ
5847,coalición,coalición,koalision,PROPN,koalision
5848,coartada,coartada,koa4tada,NOUN,koaɾtada
5849,coartadas,coartadas,koa4tadas,NOUN,koaɾtadas
5850,coartar,coartar,koa4ta4,VERB,koaɾtaɾ
5851,cobarde,cobarde,koba4de,NOUN,kobaɾde
5852,cobertura,cobertura,kobe4tu4a,NOUN,kobeɾtuɾa
5853,coberturas,coberturas,kobe4tu4as,NOUN,kobeɾtuɾas
5854,cobra,cobra,kob4a,PROPN,kobɾa
5855,cobraban,cobraban,kob4aban,VERB,kobɾaban
5856,cobrabilidad,cobrabilidad,kob4abilidad,NOUN,kobɾabilidad
5857,cobrables,cobrables,kob4ables,ADJ,kobɾables
5858,cobrado,cobrado,kob4ado,ADJ,kobɾado
5859,cobrará,cobrará,kob4a4a,VERB,kobɾaɾa
5860,cobre,cobre,kob4e,NOUN,kobɾe
5861,cobren,cobren,kob4en,PROPN,kobɾen
5862,cobró,cobró,kob4o,VERB,kobɾo
5863,coccidios,coccidios,koksidjos,NOUN,koksidjos
5864,cocción,cocción,koksion,NOUN,koksion
5865,cochambrosas,cochambrosas,kotSamb4osas,ADJ,kot͡ʃambɾosas
5866,coches,coches,kotSes,NOUN,kot͡ʃes
5867,cocinados,cocinados,kosinados,VERB,kosinados
5868,cocos,cocos,kokos,PROPN,kokos
5869,cocoteros,cocoteros,kokote4os,NOUN,kokoteɾos
5870,codecidir,codecidir,kodesidi4,VERB,kodesidiɾ
5871,codecisiones,codecisiones,kodesisjones,NOUN,kodesisjones
5872,codecisión,codecisión,kodesisjon,NOUN,kodesisjon
5873,codecisores,codecisores,kodesiso4es,NOUN,kodesisoɾes
5874,codesarrollo,codesarrollo,kodesaroj\o,NOUN,kodesaroʝo
5875,codicia,codicia,kodisia,NOUN,kodisia
5876,codiciosos,codiciosos,kodisiosos,ADJ,kodisiosos
